stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
STOP_14205,,Santa Marta,Metro. Línea A,19.359804,-98.995894,,,0,,0,
STOP_14206,,Los Reyes,Metro. Línea A,19.35877546,-98.97670984,,,0,,0,
STOP_14207,,La Paz,Metro. Línea A,19.35048513,-98.96061659,,,0,,0,
STOP_14208,,Ciudad Azteca,Metro. Línea B,19.53444312,-99.02711391,,,0,,0,
STOP_14209,,Plaza Aragón,Metro. Línea B,19.52822456,-99.02979612,,,0,,0,
STOP_14210,,Nezahualcóyotl,Metro. Línea B,19.472534,-99.054375,,,0,,0,
STOP_14211,,Villa de Aragón,Metro. Línea B,19.4613523,-99.06114578,,,0,,0,
STOP_14212,,Terminal Aérea,Metro. Línea 5,19.43380448,-99.08820391,,,0,,0,
STOP_14213,,Hangares,Metro. Línea 5,19.423251,-99.087095,,,0,,0,
STOP_14214,,Pantitlán,"Metro. Línea 5, correspondencia con líneas 1, 9 y A.",19.41528826,-99.07505035,,,0,,0,
STOP_14215,,Pantitlán,"Metro. Línea A, correspondencia con líneas 1, 5 y 9.",19.4146103,-99.07262564,,,0,,0,
STOP_14216,,Pantitlán,"Metro. Línea 1, correspondencia con líneas 5, 9 y A.",19.41616858,-99.07434225,,,0,,0,
STOP_14217,,Zaragoza,Metro. Línea 1,19.41179726,-99.08322573,,,0,,0,
STOP_14219,,Bosque de Aragón,Metro. Línea B,19.45807473,-99.06927824,,,0,,0,
STOP_14220,,Deportivo Oceanía,Metro. Línea B,19.45077077,-99.07917023,,,0,,0,
STOP_14221,,Múzquiz,Metro. Línea B,19.50096117,-99.04171586,,,0,,0,
STOP_14222,,Río de los Remedios,Metro. Línea B,19.49024062,-99.04635072,,,0,,0,
STOP_14223,,Impulsora,Metro. Línea B,19.484987,-99.048743,,,0,,0,
STOP_14224,,Olímpica,Metro. Línea B,19.52084286,-99.03298259,,,0,,0,
STOP_14225,,Tecnológico,Metro. Línea B,19.51470467,-99.03568625,,,0,,0,
STOP_14226,,Pantitlán,"Metro. Línea 9, correspondencia con líneas 1, 5 y A.",19.414885,-99.072516,,,0,,0,
STOP_14227,,Tláhuac,Metro. Línea 12,19.28680057,-99.01443243,,,0,,0,
STOP_14228,,Tlaltenco,Metro. Línea 12,19.294555,-99.023829,,,0,,0,
STOP_14229,,Zapotitlán,Metro. Línea 12,19.29639028,-99.03402328,,,0,,0,
STOP_14230,,Nopalera,Metro. Línea 12,19.29939771,-99.04621124,,,0,,0,
STOP_14231,,Olivos,Metro. Línea 12,19.30328601,-99.05831337,,,0,,0,
STOP_14232,,Tezonco,Metro. Línea 12,19.306124,-99.065867,,,0,,0,
STOP_14233,,Periférico Ote,Metro. Línea 12,19.317492,-99.074719,,,0,,0,
STOP_14234,,Calle 11,Metro. Línea 12,19.32025578,-99.08486724,,,0,,0,
STOP_14235,,Lomas Estrella,Metro. Línea 12,19.322002,-99.096696,,,0,,0,
STOP_14236,,San Andrés Tomatlán,Metro. Línea 12,19.3272315,-99.10259128,,,0,,0,
STOP_14237,,Culhuacán,Metro. Línea 12,19.33887391,-99.10894275,,,0,,0,
STOP_14238,,Mexicaltzingo,Metro. Línea 12,19.35744944,-99.12191391,,,0,,0,
STOP_14239,,Eje Central,Metro. Línea 12,19.36118453,-99.15133238,,,0,,0,
STOP_14240,,Parque de los Venados,Metro. Línea 12,19.37046623,-99.15766239,,,0,,0,
STOP_14241,,Hospital 20 de Nov.,Metro. Línea 12,19.37192372,-99.17099833,,,0,,0,
STOP_14242,,Insurgentes Sur,Metro. Línea 12,19.37360387,-99.17859435,,,0,,0,
STOP_15154,,Consulado,"Metro. Línea 5, correspondencia con línea 4.",19.455485,-99.11348104,,,0,,0,
STOP_42338,,Salto del Agua,"Metro. Línea 1, correspondencia con línea 8.",19.42698509,-99.14331794,,,0,Salto_del_Agua,0,
STOP_42427,,Atlalilco,"Metro. Línea 12, correspondencia con línea 8.",19.35264126,-99.10632491,,,0,,0,
STOP_42430,,Ermita,Metro. Línea 12,19.36030391,-99.1448307,,,0,,0,
STOP_42432,,Zapata,"Metro. Línea 12, correspondencia con línea 3.",19.3705472,-99.16540861,,,0,Zapata,0,
STOP_42487,,Candelaria,"Metro. Línea 4, correspondencia con línea 1.",19.42917056,-99.11890984,,,0,Candelaria,0,
STOP_42489,,Instituto del Petroleo,"Metro. Línea 6, correspondencia con línea 5.",19.49054404,-99.14638638,,,0,,0,
Tacuba,,Tacuba,Parent station metro,19.45895483,-99.18827176,,,1,,,
Tacubaya,,Tacubaya,Parent station metro,19.40258875,-99.18726325,,,1,,,
Zapata,,Zapata,Parent station metro,19.37062817,-99.16486144,,,1,,,
STOP_132166,,M. Tacubaya,Inicia frente al metro Tacubaya sobre calle Carlos Lazo,19.40232565,-99.18885112,,,0,,0,
STOP_132167,,Parque Lira,Sobre Av. Observatorio,19.40398524,-99.18751001,,,0,,0,
STOP_132168,,Gob. Agustín Vicente Eguia,Sobre Parque Lira,19.40752701,-99.18937683,,,0,,0,
STOP_132169,,Gral. Francisco Leyva,Sobre Av. Texcoco,19.39119378,-99.03739214,,,0,,0,
STOP_132170,,Ángel Trias (Base),Sobre Gral. Francisco Arce.,19.39016151,-99.03609395,,,0,,0,
STOP_132180,,Domingo Arellano,Sobre  Av. Texcoco,19.39257012,-99.0404284,,,0,,0,
STOP_132208,,Metro Chapultepec,Inicio de Recorrido,19.42106595,-99.17555809,,,0,,0,
STOP_132209,,Tolstoi,,19.42497159,-99.17829394,,,0,,0,
STOP_132211,,Gandhi,,19.4255888,-99.18987036,,,0,,0,
STOP_132212,,Rubén Darío,,19.4257608,-99.19106126,,,0,,0,
STOP_132213,,Auditorio Nacional,,19.42615541,-99.19355035,,,0,,0,
STOP_132215,,Gandhi,,19.42533584,-99.19043899,,,0,,0,
STOP_132216,,Zoológico II,,19.42567986,-99.19248819,,,0,,0,
STOP_132217,,Auditorio Nacional,,19.42619588,-99.1960609,,,0,,0,
STOP_132218,,Julio Verne,,19.42643871,-99.19763803,,,0,,0,
STOP_132219,,Anatole France,,19.42657025,-99.19860363,,,0,,0,
STOP_132220,,Fuente de Petróleos,,19.42793618,-99.20219779,,,0,,0,
STOP_132221,,Montes Urales,,19.42708627,-99.2049551,,,0,,0,
STOP_132222,,Prado Sur,,19.42652978,-99.20589924,,,0,,0,
STOP_132223,,Prado Norte,,19.42709639,-99.20574903,,,0,,0,
STOP_132224,,Av. Volcán,,19.42910985,-99.20740128,,,0,,0,
STOP_132225,,Coordillera de los Ándes,,19.42962586,-99.20984745,,,0,,0,
STOP_132226,,Monte Urales,,19.42748087,-99.20497656,,,0,,0,
STOP_132227,,Monte Altai,,19.4250323,-99.20895696,,,0,,0,
STOP_132228,,Monte Altai,,19.42462758,-99.20907497,,,0,,0,
STOP_132229,,Paseo de la Reforma,,19.42506266,-99.20912862,,,0,,0,
STOP_132230,,Alpes,,19.4267119,-99.21034098,,,0,,0,
STOP_132231,,Prado Norte,,19.428007,-99.21096325,,,0,,0,
STOP_132232,,Explanada,,19.42411155,-99.2111671,,,0,,0,
STOP_132233,,Monte Himalaya,,19.42411155,-99.21264768,,,0,,0,
STOP_132234,,Monte Himalaya,,19.4236967,-99.21269059,,,0,,0,
STOP_132235,,Monte Everest,,19.42321103,-99.21469688,,,0,,0,
STOP_132236,,Monte Blanco,,19.42279618,-99.21632767,,,0,,0,
STOP_132237,,Monte Blanco,,19.42323127,-99.21630621,,,0,,0,
STOP_132238,,Sierra Nevada,,19.42417226,-99.21672463,,,0,,0,
STOP_132239,,Alpes,,19.42486029,-99.21722889,,,0,,0,
STOP_132240,,Monte Tabor,,19.42831054,-99.21693921,,,0,,0,
STOP_132241,,Monte Sinaí,,19.42887714,-99.21596289,,,0,,0,
STOP_132242,,Monte Stanovoi,,19.42951457,-99.21387076,,,0,,0,
STOP_132243,,Monte Stanovoi,,19.42990916,-99.2136991,,,0,,0,
STOP_132244,,Torre Palmas,,19.42967645,-99.21510458,,,0,,0,
STOP_132245,,Monte Tabor,,19.42878608,-99.21693921,,,0,,0,
STOP_132246,,Sierra Mayca,,19.42771358,-99.21815157,,,0,,0,
STOP_132247,,Montañas Calizas,,19.42566974,-99.21913862,,,0,,0,
STOP_132248,,Paseo de las Palmas,,19.42712674,-99.21919227,,,0,,0,
STOP_132249,,Sierra Gorda,,19.42708627,-99.21939611,,,0,,0,
STOP_132250,,Sierra Gorda,,19.42755169,-99.21929955,,,0,,0,
STOP_132251,,Puente de Tecamachalco,,19.42889738,-99.22296882,,,0,,0,
STOP_132252,,Sierra Ventana,,19.42619588,-99.2213273,,,0,,0,
STOP_132253,,Cofre de Perote,,19.42614529,-99.22183156,,,0,,0,
STOP_132254,,Monte Chimborazo,,19.42424309,-99.2222929,,,0,,0,
STOP_132255,,Monte Chimborazo,,19.42462758,-99.22258258,,,0,,0,
STOP_132257,,Sierra Vertientes,,19.42284677,-99.22319412,,,0,,0,
STOP_132258,,Aconcagua,,19.42045885,-99.22481418,,,0,,0,
STOP_132259,,Aconcagua,,19.42104571,-99.22458887,,,0,,0,
STOP_132260,,Monte Antuco,,19.41896131,-99.22663808,,,0,,0,
STOP_132261,,Monte Antuco,,19.41937617,-99.22676682,,,0,,0,
STOP_132262,,Monte Ararat,,19.41730187,-99.22798991,,,0,,0,
STOP_132263,,Monte Ararat,,19.41772685,-99.22814012,,,0,,0,
STOP_132264,,Monte Líbano,,19.41602692,-99.22911644,,,0,,0,
STOP_132265,,Monte Líbano,,19.41569301,-99.22883749,,,0,,0,
STOP_132266,,Paseo de las Palmas.,,19.4158549,-99.22918081,,,0,,0,
STOP_132267,,Montañas Calizas,,19.42264441,-99.22287226,,,0,,0,
STOP_132268,,Sierra Vertientes,,19.41686677,-99.23075795,,,0,,0,
STOP_132269,,Sierra Tarahumara,,19.41445852,-99.22959924,,,0,,0,
STOP_132270,,Sierra Tarahumara,,19.41362878,-99.22940612,,,0,,0,
STOP_132271,,Montañas Rocallosas.,,19.41205023,-99.22994256,,,0,,0,
STOP_132272,,Montañas Rocallosas,,19.41180738,-99.22955632,,,0,,0,
STOP_132273,,Monte Auvernia,,19.40915619,-99.22968507,,,0,,0,
STOP_132274,,Monte Auvernia,,19.40912583,-99.22934175,,,0,,0,
